horizon,mse,rmse,mae,mape,mdape,smape,coverage,dias_no_futuro,data_no_futuro
34 days,102.77181776626776,10.137643600278507,8.365805571586506,0.09689160688168882,0.08746849211364882,0.09784057529723493,0.2926065162907268,34,2024-08-11
35 days,114.69723751215473,10.709679617624177,8.722908755598004,0.1002998244510661,0.09356041648530534,0.10157873825371277,0.30238095238095236,35,2024-08-12
36 days,122.61469423224318,11.073151955619645,9.002376642912886,0.10292131890457966,0.09758746439465457,0.10440906993267289,0.31954887218045114,36,2024-08-13
37 days,126.42542144115626,11.243905969064143,9.048549019304303,0.10290718323282204,0.09997969176887206,0.1043062143127439,0.3583959899749373,37,2024-08-14
38 days,130.2108945011383,11.410998838889535,9.180076190101992,0.10423258757635191,0.09997969176887206,0.10533085565770789,0.3611111111111111,38,2024-08-15
39 days,137.51365562203802,11.726621662782424,9.489600418844626,0.10765203978547488,0.10446364112696616,0.10854426845602301,0.3424185463659148,39,2024-08-16
40 days,137.81554856837872,11.739486725082095,9.49207195136042,0.10680430278512217,0.10390383875308577,0.10790077824707225,0.3464912280701754,40,2024-08-17
41 days,135.0293216950325,11.620211774964883,9.369261415028424,0.10505679867819939,0.1034193715783169,0.10631184511702342,0.3755952380952381,41,2024-08-18
42 days,140.27209351693514,11.843652034610573,9.565840264892717,0.10777032051459787,0.10390383875308577,0.10905319335403578,0.38847117794486213,42,2024-08-19
43 days,143.19396623276532,11.966368130421415,9.767969400708912,0.11061922788833589,0.10414238174883111,0.11206721295992676,0.38502506265664166,43,2024-08-20
44 days,138.40545665627278,11.764584848445473,9.67276928495618,0.1106329017412843,0.10446364112696616,0.11177132395718434,0.40225563909774437,44,2024-08-21
45 days,142.6970590576323,11.945587430412633,9.86368447271835,0.11385302270210451,0.10446364112696616,0.11427274373024776,0.40726817042606517,45,2024-08-22
46 days,148.22507553523207,12.174772093769644,10.063752114895424,0.11672873886608295,0.10435471688562722,0.11666691393404108,0.41353383458646614,46,2024-08-23
47 days,145.6159156201327,12.067141982264596,9.928895522373713,0.11528201100877825,0.10387479619977898,0.11503229025566936,0.4523809523809524,47,2024-08-24
48 days,141.5404566019598,11.89707764965665,9.799206914509533,0.11411745525040107,0.10004179669423159,0.11383230469873915,0.4880952380952381,48,2024-08-25
49 days,148.15590956465238,12.171931217545241,10.022013799929695,0.11734859513728504,0.10004179669423159,0.1168821761106374,0.5087719298245614,49,2024-08-26
50 days,152.0534270427725,12.330994568272768,10.15247376723033,0.11922243554915739,0.10197729468739182,0.11876961511353772,0.5213032581453634,50,2024-08-27
51 days,145.94852387605468,12.0809156886411,9.980182323370652,0.11738273009652794,0.09787413298875179,0.11694220277466422,0.5515873015873016,51,2024-08-28
52 days,150.02168264053648,12.248333872022615,10.089441300981415,0.11837698277094341,0.10197729468739182,0.11761693533394241,0.5745614035087719,52,2024-08-29
53 days,152.71743991579325,12.357889784093127,10.13218046684519,0.11846834750743748,0.09422843700114589,0.11758596919021154,0.6043417366946778,53,2024-08-30
54 days,143.83220506898056,11.993006506667982,9.716754889263385,0.11319470152095734,0.09010042753619713,0.11251717479198955,0.6365914786967418,54,2024-08-31
55 days,134.3362795970717,11.590352867668512,9.26712209659776,0.10760680551899084,0.0889124493561414,0.10709953063310558,0.6666666666666666,55,2024-09-01
56 days,139.05259354196346,11.792056374609285,9.335423094540655,0.10797862586009035,0.08970152479114774,0.10770923566315828,0.6705357142857143,56,2024-09-02
57 days,142.46900030786634,11.93603788146914,9.439843873206737,0.10912663302918786,0.0907166619278757,0.10892200020618414,0.6760651629072681,57,2024-09-03
58 days,143.2139479723484,11.967203013751726,9.459990280425009,0.10949961308160787,0.09095364375010964,0.1093939267538773,0.6735588972431078,58,2024-09-04
59 days,150.59871384483404,12.27186676283743,9.70702944342455,0.11195581628369679,0.09710514631051823,0.11218132837370245,0.6719924812030075,59,2024-09-05
60 days,160.60140473634013,12.672860953089485,9.8617873138101,0.1131973324188641,0.08798872739890043,0.11339822855141674,0.6610275689223057,60,2024-09-06
61 days,160.67215566945683,12.675652080640933,9.597057762690648,0.1092599950289634,0.07703031203989927,0.10977581816132273,0.6792328042328043,61,2024-09-07
62 days,157.0449336638279,12.531757006255264,9.280933518992407,0.10531383156135588,0.06961255530050471,0.1058646279656419,0.693295739348371,62,2024-09-08
63 days,163.48784140271258,12.786236404928253,9.428810976764897,0.10693508771878714,0.07703031203989927,0.10714697815566668,0.6997354497354498,63,2024-09-09
64 days,180.90632989065034,13.450142374363564,9.989714271076492,0.11274788195675134,0.08758141947178966,0.11357887949063088,0.6904761904761905,64,2024-09-10
65 days,193.65834597444433,13.91611820783527,10.268141655798932,0.11517822145604081,0.0909912481489313,0.11663040848764658,0.6964285714285714,65,2024-09-11
66 days,210.34224574944596,14.503180539090243,10.687754093941898,0.11923894693054284,0.09738562648545843,0.1207928967435043,0.6942355889724311,66,2024-09-12
67 days,221.33615449736257,14.877370550516062,10.788873241533416,0.11986896028442069,0.09398148930641549,0.12153609712423123,0.7142857142857143,67,2024-09-13
68 days,221.61038561968854,14.886584081638357,10.487813387505245,0.11646524503483172,0.08703300858484962,0.11766213362707113,0.7431077694235588,68,2024-09-14
